TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME,ORDER_BOOK_VOLUME,ATR,VOLUME_EMA,TRIGGER_EMA
1600380000000,11038.5,11039,11038.5,11039,45043,2504382,10689.64,,
1600376400000,10995.5,11042,10995,11038.5,42430,2504382,10645.4286,,
1600372800000,10960,10997.5,10969,10995.5,167124,2504424,10621.064314,,
1600369200000,11011,11011,10960,10960,205881,2504426,10613.18367086,,
1600365600000,10947,11036.5,10924.5,11011,413247,2504384,10578.3918341514,,
1600362000000,10924.5,10947.5,10924.5,10947,94356,,10579.312915809885,,
1600358400000,10924.5,10936.5,10924.5,10924.5,180844,,10580.264786651787,,
1600354800000,10930,10943,10924.5,10924.5,78930,,10578.727138785269,,
1600351200000,10899,10941.5,10877.5,10930,288659,,10531.604867397416,,
1600347600000,10918.5,10918.5,10875,10899,171731,,10529.823818723442,,
1600344000000,10920.5,10946.5,10918,10918.5,66806,,10575.295580536207,,
1600340400000,10923,10961,10920.5,10920.5,203507,,10580.402624730847,,
1600336800000,10960,10962,10923,10923,233625,,10585.403598483537,,
1600333200000,10950.5,10960,10950,10960,152882,,10611.579562498702,,
1600329600000,10950.5,10987,10950,10950.5,190853,,10607.003766873715,,
1600326000000,10953.5,10955,10950,10950.5,41917,,10603.433729204979,,
1600322400000,11024.5,11024.5,10953.5,10953.5,167194,,10609.079391912928,,
1600318800000,11003.5,11024.5,10966.5,11024.5,116658,,10624.6435979938,,
1600315200000,10960,11021,10953.5,11003.5,668032,,10613.922162013861,,
1600311600000,11117.5,11118,10960,10960,1746743,,10622.977940393723,,
1600308000000,11198.5,11199,11117.5,11117.5,76114,,10780.468160989785,,
1600304400000,11178,11199,11178,11198.5,99148,,10842.998479379887,,
1600300800000,11090,11178.5,11070,11178,340079,,10737.208494586088,,
1600297200000,11148,11182.5,11090,11090,123453,,10759.276409640228,,
1600293600000,11102,11148,11089.5,11148,21021,,10758.083645543826,,
1600290000000,11161.5,11169,11059,11102,314417,,10727.277809088388,,
1600286400000,11096,11161.5,11096,11161.5,108934,,10766.415030997503,,
1600282800000,11176,11176,11039.5,11096,352949,,10712.030880687527,,
1600279200000,11176,11180.5,11175.5,11176,2277915,,10847.985571880652,,
1600275600000,11192.5,11192.5,11175.5,11176,402945,,10848.780716161846,,
1600272000000,10983,11192.5,10984,11192.5,1075668,,10658.587909000227,,
1600268400000,10923.5,10983,10923,10983,198787,,10599.462029910226,,
1600264800000,10932.5,10932.5,10923,10923.5,105501,,10602.117409611123,,
1600261200000,10961.5,11000.5,10923,10932.5,635228,,10604.646235515012,,
1600257600000,10918,10962,10917.5,10961.5,272620,,10601.629773159862,,
1600254000000,10912.5,10918,10876,10918,788586,,10562.588475428263,,
1600250400000,10947,10964,10912.5,10912.5,174966,,10597.48259067398,,
1600246800000,10986,10993.5,10947,10947,121895,,10632.832764767241,,
1600243200000,10959,10986.5,10959,10986,491871,,10645.614437119568,,
1600239600000,10894.5,10959.5,10895,10959,285140,,10581.788292748373,,
1600236000000,10888.5,10895,10888,10894.5,67885,,10575.80040982089,,
1600232400000,10885.5,10889,10885.5,10888.5,25989,,10574.00240572268,,
1600228800000,10829,10886,10829,10885.5,77839,,10517.177381665453,,
1600225200000,10829,10829.5,10829,10829,37378,,10514.055607848799,,
1600221600000,10829,10829.5,10829,10829,9638,,10513.94505177031,,
1600218000000,10829,10829.5,10829,10829,318180,,10514.875601252608,,
1600214400000,10829,10829.5,10829,10829,121848,,10516.41684524008,,
1600210800000,10829.5,10829.5,10829,10829,30817,,10517.942676787681,,
1600207200000,10879,10903,10829,10829.5,238187,,10518.293250019804,,
1600203600000,10854,10896.5,10854,10879,314026,,10541.860317519606,,
1600200000000,10829.5,10854.5,10829,10854,106076,,10516.72171434441,,
1600196400000,10854,10853.5,10829,10829.5,266385,,10517.044497200966,,
1600192800000,10849,10854.5,10847.5,10854,97650,,10536.844052228957,,
1600189200000,10830,10894,10829.5,10849,63615,,10519.970611706667,,
1600185600000,10752,10875,10752,10830,779786,,10439.045905589599,,
1600182000000,10640.5,10791.5,10624,10752,2554845,,10312.615446533704,,
1600178400000,10807,10807,10640,10640.5,256334,,10328.689292068366,,
1600174800000,10878.5,10947,10744,10807,3528836,,10431.762399147683,,
1600171200000,10807,10898,10806.5,10878.5,940982,,10491.804775156206,,
1600167600000,10793,10807,10680.5,10807,246366,,10364.811727404644,,
1600164000000,10612.5,10793,10612.5,10793,282117,,10297.468610130598,,
1600160400000,10721,10721,10358.5,10612.5,727486,,10044.318924029292,,
1600156800000,10739,10744.5,10720.5,10721,98465,,10406.440734789,,
1600153200000,10715.5,10744.5,10706.5,10739,74372,,10392.12132744111,,
1600149600000,10756.5,10756.5,10700.5,10715.5,585344,,10379.465114166698,,
1600146000000,10757.5,10758.5,10756,10756.5,129026,,10432.47546302503,,
1600142400000,10758,10787,10757,10757.5,229258,,10433.51070839478,,
1600138800000,10784,10813.5,10758,10758,146431,,10432.285601310832,,
1600135200000,10770,10832,10758,10784,645896,,10432.962745297724,,
1600131600000,10688.5,10770,10688,10770,50387,,10362.733117844748,,
1600128000000,10705,10725.5,10688,10688.5,210967,,10361.1457866663,,
1600124400000,10760,10760.5,10700,10705,153464,,10372.834328799636,,
1600120800000,10753.5,10823,10753.5,10760,196990,,10421.36598551164,,
1600117200000,10710,10754,10693.5,10753.5,65863,,10358.927325656523,,
1600113600000,10761,10807,10705,10710,471550,,10367.953052399958,,
1600110000000,10736.5,10796.5,10727.5,10761,74917,,10388.023521875959,,
1600106400000,10758.5,10799.5,10736.5,10736.5,138164,,10397.578286657199,,
1600102800000,10783,10809.5,10735.5,10758.5,77903,,10396.167503790628,,
1600099200000,10709,10868.5,10709.5,10783,1447710,,10367.840828752722,,
1600095600000,10652,10750,10652,10709,1171503,,10310.197420465194,,
1600092000000,10620,10700,10611,10652,866159,,10268.475446260542,,
1600088400000,10499.5,10679,10465.5,10620,2350168,,10124.220691797937,,
1600084800000,10427.5,10514.5,10427,10499.5,247500,,10085.933484879957,,
1600081200000,10382.5,10427.5,10377.5,10427.5,130756,,10035.364150031157,,
1600077600000,10353.5,10393,10353.5,10382.5,74956,,10007.685508530845,,
1600074000000,10353.5,10355,10353.5,10353.5,60913,,10006.763653445538,,
1600070400000,10388,10419,10353.5,10353.5,181490,,10009.591016911083,,
1600066800000,10336,10392,10334,10388,372922,,9993.510106741971,,
1600063200000,10302.5,10336,10302.5,10336,111401,,9965.395005674553,,
1600059600000,10330.5,10396.5,10261,10302.5,598011,,9921.946055617806,,
1600056000000,10349.5,10390.5,10266.5,10330.5,349352,,9921.476595061627,,
1600052400000,10338,10379,10332,10349.5,38363,,9982.886829111012,,
1600048800000,10314,10346,10314,10338,322934,,9966.0779608199,,
1600045200000,10268.5,10314,10268,10314,53362,,9922.617181211703,,
1600041600000,10312.5,10329,10268,10268.5,102207,,9923.811009399586,,
1600038000000,10335.5,10335.5,10270,10312.5,33001,,9925.23289930559,,
